CONCEPT,LABEL,ACRONYM,SYNONYM,DOMAIN,DEFINITION,EXAMPLE,NOTE,RELATEDCONCEPT
entity extraction,entity extraction,,,unstructured data,Process of identifying concepts found in documents and tagging them to a predefined ontology.,,,
entity relationship,entity relationship,ER,,modeling,Style of data design focused on the definition of entities and their relationship to each other.,,,
epistemology,epistemology,,,philosophy,A branch of philosophy that studies the nature of knowledge.,,,
equivalent,equivalent,,,logic,Two representations of the same thing.,,,
avulsion,avulsion,,,modeling,"Rapid, discontinuous change; a change to a data structure that breaks dependent modules.","In nature, the depositing of silt on a river bend is an accretive change. Overflowing the bank and creating a new channel is an evulsive change.",,accretion
explicit,explicit,,,semantics,A formal expression of knowledge.,,,
extensible,extensible,,,database or model,"Capable of being added to accretively. An extensible data structure is one that additive changes can easily be made. Relational databases are extensible at the table level, in that columns can be added to tables without requiring programs to be rewritten.",,,
extensible style sheet language transformation,extensible style sheet language transformation,XSLT,,,Extension to XSL that includes more structural changes to an XML document.,,,
extensional,extensional,,,model,A set defined by a specific list.,The states of the United States is an extensional set.,,intensional
extreme programming,extreme programming,XP,,,"First of the agile methods, focused on pair programming, test as you go, and refactoring.",,,
faceted,faceted,,,taxonomy,Having the orthogonally distinct aspects of a taxonomy separated so that each can be dealt with independently.,,,
first order logic,first order logic,,FOL,logic,A branch of logic dealing with predicate-based reasoning.,,,
folksonomy,folksonomy,,,lexicography,A set of tags made up on the fly by end users to organize a body of work. Almost always a navigational taxonomy. ,,,navigational
formal,formal,,,lexicography,"A taxonomy where all the relationships are “isa” relationships, which can therefore be used in inference.",,,
friend of a friend,friend of a friend,,FOAF,,An ontology about people and their properties.,,,
functional,functional,,,description logic,Characteristic of a property which guarantees that there is only a single object. ,“BiologicalMother” is a functional property.,,
generalize,generalize,,,modeling,To create a more abstract definition or category.,,,
gist,gist,,,,A minimal upper ontology.,,,
glossary,glossary,,,lexicography,A list of terms and their definitions.,,,
grammar,grammar,,,linguistics,"A set of rules for ordering vocabulary items. In computer science, grammar may be expressed formally.",,,
granularity,granularity,,,,Size of the service. A service with a high level of granularity is referred to as being fine-grained and one with a low-level is coarse-grained.,,,
graph,graph,,,"modeling, graph theory","A model of entities (i.e., nodes) connected to relationships (i.e., arcs).",,,
grid,grid,,,,A topology where large numbers of processors can contribute to solving one problem.,,,
grounding,grounding,,,,A connection of implication to empirical data. How we connect pure thought to the real world.,,,
hierarchy,hierarchy,,,lexicography,"A tree-style arrangement of terms or classes in which each child has only one parent (i.e., single inheritance).",,,
homonym,homonym,,,lexicography,Two different meanings sharing the same word and the same spelling.,"""Mogul"" meaning the emperor versus ""mogul"" meaning the ski bump.",,
hypernymy,hypernymy,,,lexicography,A word of a more specific meaning.  ,"""Arabian"" is a kind of ""horse.""",,
hypertext markup language,hypertext markup language,HTML,,standards,A tag-based language on which the World Wide Web is based. ,,Markup is for presentation only.,
hypertext transfer protocol,hypertext transfer protocol,http,,standards,A standard request to Web servers; the protocol on which much of the World Wide Web is based.,,,
hyponymy,hyponymy,,,lexicography,Inverse of hypernymy.,”Mammal” is a more general type than “horse.”,,
identify,identify,,,semantics,To associate the description of an entity with its real-world counterpart.,,,
identity,identity,,,semantics,That which we perceive to be permanent about a perceived real-world entity; the identity of a person or an organization.,,,
idiolect,idiolect,,,linguistics,Dialect spoken by an individual.,,,
individual,individual,,,modeling,An individual object as distinct from a type of object or class. This is often used synonomously with instance although that actually describes the membership of an individual in a class.,,,
induction,induction,,,logic,Process of creating categories from instances. Probabilistic reasoning.,,,
inference,inference,,,semantics,Reasoning from known propositions.,,,
inference engine,inference engine,,reasoner,semantics,A software program that can assign members to classes based on formal class definitions.,,,
inheritance,inheritance,,,modeling,The accretion of properties and behaviors from a hyponym.,,,
instance,instance,,,modeling,Individual objects that belong to a class are referred to as instances of that class. Individuals can be instances of several classes.,"e.g., Dave McComb is an instance of the class Person.",,
instances,instances,,,"software design, modeling","Specific individual groups of data, usually created from some sort of template. In object-oriented systems, calling “new()” on a class creates an object that is of the type of the class. In a database system, inserting a row in a table creates an instance of that entity.",,,
instantiate,instantiate,,,"software design, modeling",The act of creating an instance of a class.,,,
intensional,intensional,,,modeling,A set defined by rules. Each time the rules are executed you might get a different set. The set of customers with overdue balances is an intensional set. Opposite of extensional.,,,
intentional,intentional,,,software design,"A programming language and style, where the “intention” of the developer is captured separate from the details of the implementation.",,,
inverse of,inverse of,,,modeling,"For bidirectional relationships, the one that ""goes the other way"" (""child"" is the inverse of ""parent"").",,,
isa,isa,,,model (type to type),Shorthand for the specialization/generalization relationship. Basis for inheritance in object-oriented design. See subsumption.,,,
isa,isa,,,model (instance to type),Member of.  ,Dave (instance) isa Person (type or class). The two forms of isa are often confounded.,,
Jena,Jena,,,,Open source Java-based framework built by HP Labs for building RDF-based Semantic Web applications.,,,
keyword,keyword,,,lexicography,"To find content, we extract some of the less common words from a document and index them back to their location in the document.",,,
knowledge,knowledge,,,modeling,An agent has knowledge of a scenario or context to the extent that it has a model that provides some degree of predictability.,,,
knowledge interchange format,knowledge interchange format,KIF,,,A standard format for exchanging rules between AI systems.,,,
knowledge level,knowledge level,,,"AI, modeling",Part of a model in which you reason about the behavior of the system rather than its implementation.,,,
lexical,lexical,,,lexicography,"Having to do with words, as in a lexical analysis of text.",,,
lexicographer,lexicographer,,,lexicography,A person who writes dictionaries.,,,
lexicon,lexicon,,,lexicography,Computer-readable dictionary of attributes.,,,
linguistic,linguistic,,,linguistics,Pertaining to language.,,,
linked data,linked data,,,Semantic Web,,,,
literal,literal,,,modeling,Constant variable (sounds like an oxymoron).,,,
mandatory,mandatory,,,modeling,"In a relationship, a constraint that a particular relationship must have at least one successor.",,,
Markov,Markov,,,algorithm,Statistical algorithm for finding patterns and predicting similarity in unstructured documents.,,,
markup,markup,,,standards,Annotating documents by inserting matching tags to offset certain sections.,,,
mashups,mashups,,,software design,Web-based user interface where integration is done in the browser using data from multiple sources.,,,
mereology,mereology,,partonomy,lexicography,The study of part-whole relationships. ,,,
meronomy,meronomy,,metonymy; meronymy,lexicography,Terms related through a part-whole relationship. ,,,
message,message,,,object-oriented design,"Object-oriented design refers to a method call as a message, even though it is a function call.",,,
message,message,,,,"The unit of work in an SOA, often serialized as XML.",,,
meta,meta,,,,"To transcend or go above. For most of computer science in means ""about,"" as in “metadata is data about data.""",,,
metadata,metadata,,,,"Data about data. Includes data which describes how data is stored, where it is stored, how it is validated, and what it means.",,,
metametadata,metametadata,,,,Data about metadata (usually at a high level of abstraction).,,,
metaphysics,metaphysics,,,philosophy,"A branch of philosophy that deals with understanding the fundamental nature of everything, particularly the relationship of mind to matter.",,,
